fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
26-08-2025;0:01:53;Hombre;neutral;17.63;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;miedo;39.45;media;3-medio;filosofia;14.3
26-08-2025;0:01:53;Hombre;asco;0.21;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;triste;0.43;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;enojado;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;neutral;99.56;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:54;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;feliz;0.07;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;triste;8.56;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;enojado;1.79;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;neutral;88.21;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;sorpresa;0.06;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;miedo;1.3;media;3-medio;filosofia;14.3
26-08-2025;0:01:55;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;feliz;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;triste;43.67;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;enojado;34.14;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;neutral;2.33;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;sorpresa;0.01;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;miedo;19.85;media;3-medio;filosofia;14.3
26-08-2025;0:01:57;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;triste;0.2;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;enojado;0.05;media;3-medio;filosofia;14.3
